Beach,Easting,Northing,Long,Lat
AP,559596.43,4107613.86,-122.3292077,37.1129586
SBW,559668.01,4107623.71,-122.3284013,37.11304282
APG,559634.06,4107653.25,-122.328781,37.11331125
SBE,559731.7,4107664.6,-122.3276812,37.11340732
APGw,559668.16,4107692.64,-122.3283941,37.11366412
TSW,559717.5,4107699.8,-122.3278382,37.11372551
TSB,559855.7,4107705.1,-122.3262823,37.11376445
BBSL,559587.62,4107717.92,-122.3292986,37.11389712
TSC,559765.8,4107730.4,-122.3272922,37.11399824
BBSU,559625.83,4107730.86,-122.3288675,37.11401132
TSE,559812.8,4107755.1,-122.3267612,37.11421788
BMS,559581.74,4107790.24,-122.329359,37.11454936
FSB,559981.5,4107795.7,-122.3248592,37.11457303
BMC,559574.68,4107840.8,-122.3294344,37.11500554
TSD,559738.1,4107843.9,-122.3275949,37.11502306
BMB,559509.72,4107855.64,-122.3301644,37.11514343
BMN,559547.49,4107866.23,-122.3297384,37.11523648
BMNN,559523.24,4107914.44,-122.3300076,37.11567257
P1,560110.9,4107920.3,-122.3233928,37.11568783
BMD,559579.09,4107926.78,-122.329378,37.11578025
MBBU,559450.92,4108045.54,-122.3308111,37.11685886
BBNN,558952.22,4108106.39,-122.3364195,37.11743889
NPC,558883.58,4108139.02,-122.3371895,37.11773732
LR,559504.1,4108152.8,-122.3302041,37.11782228
BBNS,559187.24,4108151.07,-122.3337706,37.11782678
BBN,559017.92,4108158.72,-122.3356758,37.11790643
NP,558828.61,4108244.55,-122.3377999,37.11869199
NPGa,558849.18,4108294.82,-122.3375644,37.11914381
NP0,558812.44,4108367.43,-122.3379723,37.1198006
NPG0,558879.17,4108369.34,-122.337221,37.11981362
NPG1,558874.76,4108435.63,-122.3372654,37.12041142
NP1,558780.98,4108469.14,-122.3383184,37.12071936
NP2,558782.45,4108534.99,-122.3382967,37.12131282
NPD,558963.2,4108553.4,-122.3362607,37.12146738
NP3,558796.86,4108604.66,-122.338129,37.12193989
NPG4,558907.97,4108682.12,-122.3368722,37.1226311
NP4,558824.49,4108708.43,-122.3378099,37.1228735
NP5,558849.18,4108892.01,-122.3375175,37.12452667
NP6,558869.47,4109098.66,-122.3372729,37.12638806
BBS,N/A,N/A,-122.3290633,37.11394085
BM,N/A,N/A,-122.3296217,37.11514703
MBB,N/A,N/A,-122.3308427,37.11628276
NNPG3,N/A,N/A,-122.3377305,37.12175865
NP2/3,N/A,N/A,-122.3381944,37.12162332
NPG,N/A,N/A,-122.3374057,37.12027041
NPG2,N/A,N/A,-122.3377882,37.12120821
NPG2B,N/A,N/A,-122.3382353,37.12157127
NPG3,N/A,N/A,-122.3377305,37.12175865
SBEL,N/A,N/A,-122.3278808,37.11333797
SBEU,N/A,N/A,-122.327436,37.113505
TSBE,N/A,N/A,-122.3257242,37.11400376
