pupID,momID,pup_area,first_pup,Distance
49541,20421,NP4,BBS,1259.319642
49222,38289,NP,BMC,848.3127415
50732,38289,NP,BMC,848.3127415
53244,40037,AP,TSW,148.4709685
49219,40047,BBN,BBS,733.9581493
51306,40047,MBBU,BBS,359.0431301
53118,40047,BBSU,BBS,19.07142365
55259,40047,SBEL,BBS,124.5434884
57682,40047,SBEU,BBS,152.4530593
48986,40411,TSB,NPG1,1223.077007
49990,40411,TSC,NPG1,1136.354537
49991,40411,TSC,NPG1,1136.354537
51743,40411,BBSL,NPG1,1011.571561
48395,40547,SBW,BBS,115.6946606
51354,40568,AP,NP4,1339.393463
50784,40635,TSC,NP2,1270.567704
52182,40635,TSBE,NP2,1380.266627
50341,40645,BBNS,NP4,665.0095729
55020,40645,BBN,NP4,582.748873
51880,40660,BBN,NP3,497.7248308
53460,40660,AP,NP3,1273.183736
54964,40660,BBN,NP3,497.7248308
49507,40667,TSB,BMC,312.0684707
50671,40667,BMC,BMC,0
52130,40667,P1,BMC,542.0813024
50342,41763,APG,BMS,146.6412033
51718,41763,NP4,BMS,1190.16824
53016,41763,BMC,BMS,51.05053575
55385,41763,NP5,BMS,1323.080227
50334,41847,NP5,BMB,1228.973502
54764,41847,NP0,BMB,864.9441615
51417,42029,TSB,TSC,93.39218383
55317,42029,TSB,TSC,93.39218383
53291,42257,TSB,BMS,286.8848222
50299,42335,NP1,BBN,390.5139434
51388,42560,NP,TSB,1160.137996
53512,42560,TSB,TSB,0
51439,42682,MBBU,MBBU,0
51363,44408,NPG1,NP0,92.38518496
54895,44962,NP2,NPG1,135.6228067
54756,45177,SBW,BBSL,123.846987
55406,45282,BBN,BBN,0
53108,46703,TSB,P1,333.8234264
54862,46703,TSC,P1,393.8984895
54826,46787,APG,SBE,98.29746741
54734,46788,NP1,NPG1,99.58719044
57445,46788,NPG0,NPG1,66.4365276
53115,46837,SBE,TSB,130.4463491
51751,46864,BMS,APG,146.6412033
52951,46864,SBW,APG,45.00237883
53494,46907,NP3,NPG1,186.1170355
55475,46907,NP1,NPG1,99.58719044
55003,48082,NP5,NP4,185.2328602
55249,48244,BBSL,BBSL,0
